summonerName,team,teamId,Season,games,championName,key,Win,lose,kills,assists,deaths,killsT,assistsT,deathsT,kda,ban,Avg BT,wR,Presence
Markoon,SK,Blue,Winter_Season,41,Sejuani,113,22.0,19.0,1.0,4.0,0.0,68.0,305.0,88.0,4.238636363636363,8.0,5.0,0.5365853658536586,92.45283018867924
Xerxe,XL,Red,Winter_Season,41,Sejuani,113,22.0,19.0,0.0,4.0,2.0,68.0,305.0,88.0,4.238636363636363,8.0,6.0,0.5365853658536586,92.45283018867924
Razork,FNC,Red,Spring_Season,41,Sejuani,113,22.0,19.0,1.0,1.0,2.0,68.0,305.0,88.0,4.238636363636363,8.0,3.0,0.5365853658536586,92.45283018867924
Razork,FNC,Blue,Winter_Season,41,Sejuani,113,22.0,19.0,1.0,3.0,6.0,68.0,305.0,88.0,4.238636363636363,8.0,3.0,0.5365853658536586,92.45283018867924
Malrang,KOI,Blue,Spring_Season,41,Sejuani,113,22.0,19.0,1.0,9.0,4.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
Jankos,TH,Red,Winter_Season,41,Sejuani,113,22.0,19.0,7.0,6.0,1.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
113,AST,Red,Winter_Season,41,Sejuani,113,22.0,19.0,1.0,3.0,6.0,68.0,305.0,88.0,4.238636363636363,8.0,3.0,0.5365853658536586,92.45283018867924
Razork,FNC,Red,Spring_Season,41,Sejuani,113,22.0,19.0,3.0,2.0,4.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
Sheo,BDS,Blue,Spring_Season,41,Sejuani,113,22.0,19.0,1.0,17.0,0.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
Sheo,BDS,Blue,Spring_Season,41,Sejuani,113,22.0,19.0,2.0,7.0,1.0,68.0,305.0,88.0,4.238636363636363,8.0,1.0,0.5365853658536586,92.45283018867924
Bo,VIT,Blue,Winter_Season,41,Sejuani,113,22.0,19.0,2.0,18.0,2.0,68.0,305.0,88.0,4.238636363636363,8.0,,0.5365853658536586,92.45283018867924
Elyoya,MAD,Red,Winter_Season,41,Sejuani,113,22.0,19.0,1.0,11.0,0.0,68.0,305.0,88.0,4.238636363636363,8.0,,0.5365853658536586,92.45283018867924
Sheo,BDS,Red,Spring_Season,41,Sejuani,113,22.0,19.0,2.0,14.0,1.0,68.0,305.0,88.0,4.238636363636363,8.0,1.0,0.5365853658536586,92.45283018867924
Xerxe,XL,Red,Spring_Season,41,Sejuani,113,22.0,19.0,0.0,6.0,2.0,68.0,305.0,88.0,4.238636363636363,8.0,1.0,0.5365853658536586,92.45283018867924
Bo,VIT,Red,Spring_Season,41,Sejuani,113,22.0,19.0,5.0,7.0,0.0,68.0,305.0,88.0,4.238636363636363,8.0,3.0,0.5365853658536586,92.45283018867924
Elyoya,MAD,Red,Winter_Season,41,Sejuani,113,22.0,19.0,2.0,6.0,0.0,68.0,305.0,88.0,4.238636363636363,8.0,5.0,0.5365853658536586,92.45283018867924
Sheo,BDS,Blue,Spring_Season,41,Sejuani,113,22.0,19.0,1.0,7.0,3.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
Bo,VIT,Red,Winter_Season,41,Sejuani,113,22.0,19.0,1.0,2.0,2.0,68.0,305.0,88.0,4.238636363636363,8.0,6.0,0.5365853658536586,92.45283018867924
Razork,FNC,Red,Spring_Season,41,Sejuani,113,22.0,19.0,4.0,6.0,6.0,68.0,305.0,88.0,4.238636363636363,8.0,1.0,0.5365853658536586,92.45283018867924
Razork,FNC,Blue,Spring_Season,41,Sejuani,113,22.0,19.0,3.0,10.0,3.0,68.0,305.0,88.0,4.238636363636363,8.0,3.0,0.5365853658536586,92.45283018867924
Sheo,BDS,Red,Winter_Season,41,Sejuani,113,22.0,19.0,0.0,4.0,3.0,68.0,305.0,88.0,4.238636363636363,8.0,6.0,0.5365853658536586,92.45283018867924
Malrang,KOI,Blue,Winter_Season,41,Sejuani,113,22.0,19.0,4.0,3.0,2.0,68.0,305.0,88.0,4.238636363636363,8.0,,0.5365853658536586,92.45283018867924
Bo,VIT,Red,Spring_Season,41,Sejuani,113,22.0,19.0,2.0,13.0,0.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
113,AST,Blue,Winter_Season,41,Sejuani,113,22.0,19.0,1.0,6.0,3.0,68.0,305.0,88.0,4.238636363636363,8.0,6.0,0.5365853658536586,92.45283018867924
Sheo,BDS,Red,Winter_Season,41,Sejuani,113,22.0,19.0,1.0,12.0,1.0,68.0,305.0,88.0,4.238636363636363,8.0,,0.5365853658536586,92.45283018867924
Elyoya,MAD,Red,Winter_Season,41,Sejuani,113,22.0,19.0,1.0,2.0,1.0,68.0,305.0,88.0,4.238636363636363,8.0,5.0,0.5365853658536586,92.45283018867924
Markoon,SK,Red,Winter_Season,41,Sejuani,113,22.0,19.0,2.0,12.0,3.0,68.0,305.0,88.0,4.238636363636363,8.0,3.0,0.5365853658536586,92.45283018867924
Elyoya,MAD,Red,Winter_Season,41,Sejuani,113,22.0,19.0,0.0,10.0,0.0,68.0,305.0,88.0,4.238636363636363,8.0,6.0,0.5365853658536586,92.45283018867924
Xerxe,XL,Red,Spring_Season,41,Sejuani,113,22.0,19.0,3.0,13.0,5.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
113,AST,Red,Winter_Season,41,Sejuani,113,22.0,19.0,1.0,1.0,3.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
Jankos,TH,Red,Winter_Season,41,Sejuani,113,22.0,19.0,3.0,16.0,1.0,68.0,305.0,88.0,4.238636363636363,8.0,6.0,0.5365853658536586,92.45283018867924
Malrang,KOI,Red,Spring_Season,41,Sejuani,113,22.0,19.0,0.0,3.0,1.0,68.0,305.0,88.0,4.238636363636363,8.0,1.0,0.5365853658536586,92.45283018867924
Malrang,KOI,Blue,Winter_Season,41,Sejuani,113,22.0,19.0,3.0,4.0,4.0,68.0,305.0,88.0,4.238636363636363,8.0,3.0,0.5365853658536586,92.45283018867924
